StatID,TeamID,PlayerID,SeasonType,Season,Name,Team,Position,Started,GlobalTeamID,Updated,Games,FantasyPoints,Minutes,Seconds,FieldGoalsMade,FieldGoalsAttempted,FieldGoalsPercentage,EffectiveFieldGoalsPercentage,TwoPointersMade,TwoPointersAttempted,TwoPointersPercentage,ThreePointersMade,ThreePointersAttempted,ThreePointersPercentage,FreeThrowsMade,FreeThrowsAttempted,FreeThrowsPercentage,OffensiveRebounds,DefensiveRebounds,Rebounds,OffensiveReboundsPercentage,DefensiveReboundsPercentage,TotalReboundsPercentage,Assists,Steals,BlockedShots,Turnovers,PersonalFouls,Points,TrueShootingAttempts,TrueShootingPercentage,PlayerEfficiencyRating,AssistsPercentage,StealsPercentage,BlocksPercentage,TurnOversPercentage,UsageRatePercentage,FantasyPointsFanDuel,FantasyPointsDraftKings,FantasyPointsYahoo,PlusMinus,DoubleDoubles,TripleDoubles,FantasyPointsFantasyDraft,IsClosed,LineupConfirmed,LineupStatus
193760,9,20000438,1,2013,Paul Pierce,BOS,SF,0,20000009,2017-11-07T10:35:39,77,4298.8,4285,15,792.1,1817.1,72.6,83.5,550.8,1181.4,77.5,241.3,635.6,63.2,554.1,703.9,131.0,74.9,735.5,810.4,5.9,32.8,18.6,615.7,139.8,49.9,356.1,349.4,2379.5,2126.8,93.0,32.1,41.8,4.8,2.5,23.9,45.9,4488.5,4675.4,4488.5,0,20.0,8.3,,False,,Scrambled
194057,1,20000439,1,2013,Nene Hilario,WAS,C,0,20000001,2017-11-07T10:35:39,61,2604.0,2761,28,474.2,988.4,79.9,79.9,474.2,986.8,80.0,0.0,2.8,0.0,326.1,447.6,121.3,168.1,509.2,677.2,11.1,34.3,22.6,294.5,91.5,61.6,231.3,284.5,1274.6,1185.4,89.5,28.7,31.6,4.8,4.9,27.2,39.1,2757.1,2771.0,2757.1,0,11.6,0.0,,False,,Scrambled
193806,29,20000440,1,2013,Marcin Gortat,PHO,C,0,20000029,2017-11-07T10:35:39,61,2643.6,3120,72,490.9,941.8,86.7,86.7,490.9,936.8,87.2,0.0,8.3,0.0,149.8,229.6,108.5,213.0,645.6,858.6,12.6,40.0,26.0,124.8,66.6,163.1,164.7,211.3,1131.5,1042.9,90.4,26.4,10.8,3.0,10.8,22.7,28.8,2873.2,2811.3,2873.2,0,28.3,0.0,,False,,Scrambled
193810,1,20000441,1,2013,Bradley Beal,WAS,SG,0,20000001,2017-11-07T10:35:39,56,2174.3,2902,58,469.2,1143.2,68.2,79.4,317.8,750.5,70.6,151.4,392.7,64.2,208.0,264.6,130.8,71.6,279.6,351.1,7.5,17.9,11.1,228.0,83.2,48.3,149.8,188.0,1297.9,1259.6,85.7,23.1,22.9,4.2,3.6,17.7,37.0,2305.8,2350.0,2305.8,0,8.3,0.0,,False,,Scrambled
194126,1,20000442,1,2013,John Wall,WAS,PG,0,20000001,2017-11-07T10:35:39,49,2904.8,2666,13,539.1,1223.0,73.4,74.7,519.2,1148.2,75.2,20.0,74.9,44.4,409.3,509.2,133.8,58.2,267.9,326.1,6.6,18.7,11.3,620.7,106.5,61.6,261.2,194.7,1507.6,1447.1,86.7,35.1,73.0,5.8,5.0,25.4,48.9,3072.9,3096.7,3072.9,0,23.3,0.0,,False,,Scrambled
194116,15,20000444,1,2013,Drew Gooden,MIL,PF,0,20000015,2017-11-07T10:35:39,16,185.0,251,43,33.3,101.5,54.6,54.6,31.6,93.2,56.4,2.8,13.8,33.3,18.3,26.6,114.5,21.6,30.0,51.6,14.8,22.0,18.3,16.6,13.8,16.6,15.0,34.9,86.5,113.2,63.6,13.4,10.0,4.7,8.0,19.4,37.0,203.3,195.9,203.3,0,0.0,0.0,,False,,Scrambled
193955,2,20000445,1,2013,Ramon Sessions,CHA,PG,0,20000002,2017-11-07T10:35:39,61,2379.2,2747,55,459.3,1124.9,67.9,71.9,404.4,946.8,71.1,54.9,178.0,51.3,484.2,577.4,139.6,44.9,236.3,281.2,5.0,16.9,16.2,382.7,79.9,11.6,173.1,151.4,1457.7,1378.9,88.0,29.3,42.5,4.2,0.9,18.6,43.1,2470.7,2507.2,2470.7,0,0.0,0.0,,False,,Scrambled
194096,1,20000446,1,2013,Kevin Seraphin,WAS,C,0,20000001,2017-11-07T10:35:39,79,2092.8,2862,85,549.1,1191.4,76.7,76.7,549.1,1191.4,76.7,0.0,0.0,0.0,101.5,146.4,115.3,178.0,397.7,575.7,11.4,25.8,18.5,94.8,39.9,98.2,216.3,351.1,1199.7,1255.9,79.5,17.6,10.2,2.0,7.5,24.4,39.2,2230.9,2239.7,2230.9,0,11.1,0.0,,False,,Scrambled
194199,14,20000448,1,2013,Will Bynum,DET,PG,0,20000014,2017-11-07T10:35:39,65,1787.0,2028,13,421.0,898.6,78.0,81.7,381.1,772.1,82.2,39.9,126.5,52.6,176.4,218.0,134.6,46.6,114.8,161.4,7.2,11.0,12.7,384.4,74.9,13.8,208.0,213.0,1058.3,994.5,88.5,27.3,57.9,5.4,0.9,28.8,45.1,1870.2,1926.5,1870.2,0,8.3,0.0,,False,,Scrambled
193928,8,20000449,1,2013,Kris Humphries,BKN,PF,0,20000008,2017-11-07T10:35:39,65,1500.9,1982,15,231.3,515.8,74.5,74.5,231.3,512.5,75.0,0.0,5.5,0.0,161.4,204.7,131.3,209.7,397.7,607.4,20.7,39.7,30.1,53.2,26.6,54.9,94.8,211.3,624.0,605.9,85.7,22.0,11.9,2.0,5.8,22.5,27.3,1582.5,1593.7,1582.5,0,16.6,0.0,,False,,Scrambled
193893,1,20000450,1,2013,Martell Webster,WAS,SF,0,20000001,2017-11-07T10:35:39,76,2463.2,3661,12,467.6,1058.3,73.5,91.5,236.3,510.8,77.0,231.3,547.5,70.2,279.6,329.5,141.1,88.2,401.0,489.2,7.3,20.4,12.3,238.0,83.2,28.3,149.8,276.2,1446.0,1203.3,100.0,23.4,17.9,3.3,1.7000000000000002,18.4,28.2,2574.7,2680.7,2574.7,0,2.8,0.0,,False,,Scrambled
194022,24,20000451,1,2013,DeJuan Blair,SA,C,0,20000024,2017-11-07T10:35:39,61,1192.3,1414,97,236.3,450.9,87.2,87.2,236.3,449.3,87.5,0.0,2.8,0.0,73.2,116.5,104.7,109.8,272.9,382.7,15.8,35.1,26.0,74.9,61.6,16.6,81.5,186.4,545.8,502.2,90.4,25.5,13.7,6.1,2.4,23.2,31.7,1270.5,1254.7,1270.5,0,2.8,0.0,,False,,Scrambled
194025,1,20000452,1,2013,Garrett Temple,WAS,SG,0,20000001,2017-11-07T10:35:39,51,1090.1,1922,60,174.7,429.3,67.7,76.0,131.5,296.2,73.9,43.3,133.1,54.1,43.3,61.6,117.0,48.3,156.4,204.7,7.6,15.1,16.3,191.4,83.2,28.3,101.5,156.4,436.0,456.4,79.4,14.9,25.8,6.3,3.2,30.3,22.1,1201.6,1172.7,1201.6,0,0.0,0.0,,False,,Scrambled
194068,10,20000453,1,2013,Terrence Ross,TOR,SG,0,20000010,2017-11-07T10:35:39,73,1306.7,2062,28,309.5,760.4,67.7,79.4,201.3,434.3,77.2,108.2,326.1,55.2,49.9,69.9,118.8,58.2,181.4,239.6,9.1,17.7,11.5,88.2,71.6,23.3,79.9,203.0,777.1,791.2,81.7,17.3,11.9,5.1,2.5,15.2,32.7,1401.6,1412.7,1401.6,0,0.0,0.0,,False,,Scrambled
193958,13,20000454,1,2013,Tyler Hansbrough,IND,PF,0,20000013,2017-11-07T10:35:39,81,1806.4,2271,60,292.9,677.2,71.9,71.9,292.9,672.3,72.6,0.0,8.3,0.0,359.4,499.2,119.8,267.9,352.8,620.7,22.3,28.3,25.3,59.9,48.3,30.0,129.8,252.9,945.2,896.9,87.7,25.1,12.2,3.1,2.7,21.0,34.5,1884.6,1917.3,1884.6,0,16.6,0.0,,False,,Scrambled
194174,10,20000455,1,2013,Jonas Valanciunas,TOR,C,0,20000010,2017-11-07T10:35:39,62,1936.7,2464,62,339.5,609.0,92.7,92.7,339.5,609.0,92.7,0.0,0.0,0.0,242.9,307.8,131.3,201.3,417.7,619.0,15.9,34.1,24.8,74.9,28.3,129.8,156.4,312.8,921.9,744.5,103.0,25.7,13.8,1.7000000000000002,11.7,28.9,28.3,2094.8,2065.9,2094.8,0,13.3,0.0,,False,,Scrambled
193948,10,20000456,1,2013,DeMar DeRozan,TOR,SG,0,20000010,2017-11-07T10:35:39,82,3700.7,5014,6,911.9,2048.4,74.0,76.4,855.3,1848.7,77.0,56.6,199.7,47.1,590.7,710.5,138.3,79.9,452.6,532.5,5.2,18.2,10.5,339.5,126.5,39.9,251.3,287.9,2471.0,2361.0,87.0,24.4,20.0,3.7,1.7000000000000002,16.0,40.4,3867.1,3881.3,3867.1,0,0.0,0.0,,False,,Scrambled
194140,10,20000457,1,2013,Kyle Lowry,TOR,PG,0,20000010,2017-11-07T10:35:39,68,3174.4,3361,18,416.0,1036.7,66.7,80.2,247.9,572.4,72.1,168.1,464.3,60.2,316.2,397.7,132.3,93.2,441.0,534.1,9.0,26.4,15.7,723.8,156.4,39.9,261.2,362.8,1316.2,1211.7,90.4,28.8,57.6,6.9,2.6,29.5,34.0,3370.8,3445.7,3370.8,0,18.3,2.8,,False,,Scrambled
193816,10,20000458,1,2013,Amir Johnson,TOR,PF,0,20000010,2017-11-07T10:35:39,81,3318.3,3867,82,559.1,1008.4,92.2,92.9,550.8,986.8,92.9,13.8,21.6,64.1,226.3,311.2,121.0,377.7,639.0,1016.7,19.0,33.2,26.0,203.0,134.8,183.0,194.7,500.9,1352.8,1145.3,98.2,28.5,14.5,5.2,10.5,24.2,26.9,3636.2,3508.1,3636.2,0,25.0,0.0,,False,,Scrambled
194132,3,20000459,1,2013,Lou Williams,ATL,SG,0,20000003,2017-11-07T10:35:39,39,1480.1,1862,3,311.2,737.2,70.2,83.7,191.4,411.0,77.5,119.8,326.1,61.1,174.7,201.3,144.4,13.3,119.8,133.1,2.3,12.1,11.3,231.3,73.2,16.6,123.1,91.5,916.9,825.7,92.4,27.3,33.9,5.7,1.9,21.6,39.5,1570.0,1610.8,1570.0,0,2.8,0.0,,False,,Scrambled
