StatID,TeamID,PlayerID,SeasonType,Season,Name,Team,Position,Started,GlobalTeamID,Updated,Games,FantasyPoints,Minutes,Seconds,FieldGoalsMade,FieldGoalsAttempted,FieldGoalsPercentage,EffectiveFieldGoalsPercentage,TwoPointersMade,TwoPointersAttempted,TwoPointersPercentage,ThreePointersMade,ThreePointersAttempted,ThreePointersPercentage,FreeThrowsMade,FreeThrowsAttempted,FreeThrowsPercentage,OffensiveRebounds,DefensiveRebounds,Rebounds,OffensiveReboundsPercentage,DefensiveReboundsPercentage,TotalReboundsPercentage,Assists,Steals,BlockedShots,Turnovers,PersonalFouls,Points,TrueShootingAttempts,TrueShootingPercentage,PlayerEfficiencyRating,AssistsPercentage,StealsPercentage,BlocksPercentage,TurnOversPercentage,UsageRatePercentage,FantasyPointsFanDuel,FantasyPointsDraftKings,FantasyPointsYahoo,PlusMinus,DoubleDoubles,TripleDoubles,FantasyPointsFantasyDraft,IsClosed,LineupConfirmed,LineupStatus
576288,22,20000439,1,2019,Nene Hilario,HOU,C,2,20000022,2019-06-24T22:18:50,42,143.7,199,18,22.0,42.5,18.9,18.9,22.0,41.4,19.4,0.0,0.4,0.0,11.3,17.2,24.2,12.4,32.6,45.0,0.9,2.5,1.7000000000000002,3.5,2.4,2.0,1.5,31.8,55.3,50.0,20.2,1.7000000000000002,0.9,0.2,0.30000000000000004,1.0,1.6,155.8,148.0,155.8,37.0,0.0,0.0,148.0,False,,Scrambled
576289,28,20000440,1,2019,Marcin Gortat,LAC,C,43,20000028,2019-06-24T22:18:50,47,239.3,274,11,36.2,68.1,19.5,19.5,36.2,68.1,19.5,0.0,0.0,0.0,12.8,17.6,26.7,24.5,71.0,95.5,1.3,3.6,2.5,23.8,0.8,3.2,18.3,33.7,85.3,75.8,20.6,2.0,1.6,0.0,0.30000000000000004,2.6,1.9,250.2,253.7,250.2,-35.9,0.1,0.0,253.7,False,,Scrambled
577191,1,20000441,1,2019,Bradley Beal,WAS,SG,82,20000001,2019-06-24T22:18:50,82,1243.7,1108,17,279.6,588.9,17.4,19.7,203.1,370.8,20.1,76.5,218.1,12.8,132.5,164.0,29.6,32.6,117.9,150.4,0.4,1.6,1.0,164.0,44.3,21.2,82.0,82.7,768.2,661.0,21.3,3.3,3.2,0.30000000000000004,0.2,1.5,10.4,1309.3,1337.6,1309.3,-41.0,1.5,0.30000000000000004,1337.6,False,,Scrambled
577192,1,20000442,1,2019,John Wall,WAS,PG,32,20000001,2019-06-24T22:18:50,32,459.6,404,19,89.7,202.0,16.3,17.9,71.0,140.2,18.6,18.7,61.9,11.1,44.7,64.0,25.5,2.0,37.0,42.5,0.2,1.4,0.8,102.1,17.9,10.6,44.3,26.0,242.7,230.2,19.3,2.9,14.3,0.30000000000000004,0.30000000000000004,2.2,10.6,488.1,498.7,488.1,-55.6,1.3,0.0,498.7,False,,Scrambled
577193,11,20000443,1,2019,Otto Porter,CHI,SF,43,20000011,2019-06-24T22:18:50,56,548.2,616,16,109.4,235.3,17.0,20.0,71.4,141.6,18.4,38.1,93.7,14.9,28.5,35.1,29.7,19.8,95.2,114.9,0.5,2.3,1.4,43.9,30.0,11.3,23.8,39.5,285.5,250.8,20.8,2.5,1.5,0.30000000000000004,0.2,1.2,2.6,589.6,588.2,589.6,-8.1,0.8,0.0,588.2,False,,Scrambled
576290,28,20000452,1,2019,Garrett Temple,LAC,SG,55,20000028,2019-06-24T22:18:50,75,419.0,747,12,76.1,180.4,15.4,18.8,43.2,83.8,18.8,32.9,96.6,12.5,29.3,39.2,27.4,10.2,68.8,79.1,0.2,1.3,0.8,38.4,27.8,11.0,25.6,74.7,214.5,197.7,19.9,1.3,0.9,0.2,0.2,1.5,1.7000000000000002,457.8,452.2,457.8,-30.4,0.0,0.0,452.2,False,,Scrambled
576291,5,20000453,1,2019,Terrence Ross,ORL,SG,0,20000005,2019-06-24T22:18:50,81,685.7,787,1,161.0,375.9,15.7,19.5,81.6,168.7,17.7,79.4,207.2,14.0,46.1,52.7,32.0,3.6,92.6,102.5,0.2,1.7000000000000002,0.9,49.4,26.4,10.6,32.9,43.6,447.6,399.1,20.5,2.4,1.3,0.2,0.2,1.0,3.2,722.7,747.0,722.7,0.7000000000000001,0.0,0.0,747.0,False,,Scrambled
576292,21,20000455,1,2019,Jonas Valanciunas,MEM,C,27,20000021,2019-06-24T22:18:50,49,521.5,399,1,110.2,196.9,20.5,20.9,105.0,179.3,21.4,1.9,17.6,10.7,53.8,67.7,29.1,38.8,114.6,153.4,1.4,12.0,2.9,25.6,2.5,19.4,32.9,53.4,279.3,226.7,22.5,10.2,1.7000000000000002,0.1,0.6000000000000001,1.7000000000000002,10.7,547.8,557.0,547.8,26.0,2.1,0.0,557.0,False,,Scrambled
576293,24,20000456,1,2019,DeMar DeRozan,SA,SG,77,20000024,2019-06-24T22:18:50,77,1078.6,984,2,230.9,480.6,17.6,17.7,228.4,464.1,18.0,0.9,16.5,2.1,134.0,161.4,30.4,19.8,149.3,169.1,0.30000000000000004,2.2,1.3,173.8,31.5,13.2,72.8,64.8,598.4,551.6,19.8,3.0,10.1,0.2,0.2,1.6,10.3,1123.2,1131.9,1123.2,1.3,1.6,0.1,1131.9,False,,Scrambled
576294,10,20000457,1,2019,Kyle Lowry,TOR,PG,65,20000010,2019-06-24T22:18:50,65,808.3,810,3,111.3,270.5,15.0,18.9,53.8,104.7,18.8,57.5,165.8,12.7,58.9,71.0,30.4,15.0,99.2,114.2,0.30000000000000004,1.7000000000000002,1.0,206.4,33.3,11.3,66.6,60.8,338.9,301.7,20.6,2.6,12.7,0.30000000000000004,0.2,2.4,2.6,852.9,888.1,852.9,196.2,2.7,0.30000000000000004,888.1,False,,Scrambled
