StatID,TeamID,PlayerID,SeasonType,Season,Name,Team,Position,Started,GlobalTeamID,Updated,Games,FantasyPoints,Minutes,Seconds,FieldGoalsMade,FieldGoalsAttempted,FieldGoalsPercentage,EffectiveFieldGoalsPercentage,TwoPointersMade,TwoPointersAttempted,TwoPointersPercentage,ThreePointersMade,ThreePointersAttempted,ThreePointersPercentage,FreeThrowsMade,FreeThrowsAttempted,FreeThrowsPercentage,OffensiveRebounds,DefensiveRebounds,Rebounds,OffensiveReboundsPercentage,DefensiveReboundsPercentage,TotalReboundsPercentage,Assists,Steals,BlockedShots,Turnovers,PersonalFouls,Points,TrueShootingAttempts,TrueShootingPercentage,PlayerEfficiencyRating,AssistsPercentage,StealsPercentage,BlocksPercentage,TurnOversPercentage,UsageRatePercentage,FantasyPointsFanDuel,FantasyPointsDraftKings,FantasyPointsYahoo,PlusMinus,DoubleDoubles,TripleDoubles,FantasyPointsFantasyDraft,IsClosed,LineupConfirmed,LineupStatus
193267,8,20000438,1,2014,Paul Pierce,BKN,SF,68,20000008,2017-11-07T10:35:39,75,1324.6,1565,2,239.5,531.2,33.6,39.5,155.9,307.4,37.8,83.6,223.8,27.8,191.0,231.3,61.6,19.4,240.2,259.6,0.8,13.7,5.5,132.8,64.2,23.1,114.1,141.7,753.5,632.9,44.4,12.5,10.8,1.2,0.7000000000000001,11.4,16.8,1411.9,1437.5,1411.9,53.0,0.6000000000000001,0.0,,False,,Scrambled
193646,1,20000439,1,2014,Nene Hilario,WAS,C,37,20000001,2017-11-07T10:35:39,53,1075.2,1164,21,223.1,443.1,37.5,37.7,222.3,439.4,37.7,0.6000000000000001,2.8,14.9,115.6,198.4,43.5,48.5,170.8,219.3,2.6,12.9,6.1,114.1,47.7,35.1,87.3,122.3,562.5,530.4,39.5,12.7,12.2,1.2,1.4,10.5,18.0,1158.0,1132.4,1158.0,88.0,1.1,0.0,,False,,Scrambled
193314,1,20000440,1,2014,Marcin Gortat,WAS,C,80,20000001,2017-11-07T10:35:39,81,1785.5,1981,2,339.4,626.6,40.4,40.5,338.7,625.9,40.4,0.6000000000000001,0.6000000000000001,74.6,117.1,170.8,51.2,150.7,421.5,572.2,4.8,18.7,12.5,102.9,30.6,90.3,94.0,149.9,796.7,701.8,42.3,13.4,4.7,0.4,2.1,6.6,13.6,1906.3,1902.9,1906.3,217.8,27.6,0.0,,False,,Scrambled
193514,1,20000441,1,2014,Bradley Beal,WAS,SG,73,20000001,2017-11-07T10:35:39,73,1485.4,1887,3,358.8,857.2,31.3,35.7,255.9,601.3,31.8,102.9,255.9,30.0,111.2,141.0,58.8,40.3,163.4,203.7,1.4,5.7,3.5,181.3,53.0,13.4,95.5,114.1,931.8,919.2,37.8,11.0,11.9,0.8,0.30000000000000004,5.2,18.2,1551.8,1595.9,1551.8,82.1,0.6000000000000001,0.0,,False,,Scrambled
193599,1,20000442,1,2014,John Wall,WAS,PG,82,20000001,2017-11-07T10:35:39,82,2347.7,2222,39,431.9,997.4,32.3,35.3,351.4,767.6,34.2,80.6,229.8,26.2,236.5,293.9,60.1,28.3,220.1,248.4,0.8,6.5,3.6,537.9,111.2,29.8,220.1,163.4,1180.9,1126.7,39.1,14.9,30.2,1.4,0.6000000000000001,12.2,20.5,2488.7,2545.2,2488.7,146.2,21.6,1.1,,False,,Scrambled
193566,1,20000443,1,2014,Otto Porter,WAS,SF,0,20000001,2017-11-07T10:35:39,37,123.4,237,43,24.6,67.9,27.1,28.7,21.6,52.2,30.9,2.2,15.7,14.2,4.5,6.7,49.8,15.7,26.9,42.5,4.2,7.4,5.8,5.6,4.5,0.6000000000000001,10.4,19.4,58.2,71.8,30.1,3.5,2.5,0.7000000000000001,0.1,7.1,11.7,130.1,132.2,130.1,-4.5,0.0,0.0,,False,,Scrambled
193585,1,20000444,1,2014,Drew Gooden,WAS,PF,0,20000001,2017-11-07T10:35:39,22,268.0,295,4,56.7,106.7,39.6,41.7,51.5,94.0,40.9,3.9,12.7,30.7,17.9,20.1,66.3,27.6,57.4,85.0,5.9,17.1,12.5,11.2,5.6,3.9,12.7,39.5,136.5,115.5,44.0,14.0,3.5,0.7000000000000001,0.8,5.5,14.7,280.7,282.4,280.7,-20.9,0.6000000000000001,0.0,,False,,Scrambled
193358,15,20000445,1,2014,Ramon Sessions,MIL,PG,19,20000015,2017-11-07T10:35:39,83,1300.0,1652,2,246.2,573.7,32.0,33.8,220.1,481.2,34.1,26.1,92.5,21.0,243.2,301.4,60.2,28.3,123.1,151.4,1.1,4.9,2.9,253.6,36.6,5.0,110.4,67.1,761.7,706.3,40.2,12.1,19.3,0.6000000000000001,0.2,10.1,16.8,1343.2,1379.2,1343.2,-123.1,1.7000000000000002,0.0,,False,,Scrambled
193687,1,20000446,1,2014,Kevin Seraphin,WAS,C,1,20000001,2017-11-07T10:35:39,53,332.0,431,19,82.8,164.1,37.7,37.7,82.8,164.1,37.7,0.0,0.0,0.0,20.1,23.1,65.0,39.5,56.0,95.5,5.8,11.4,7.1,12.7,1.7000000000000002,19.4,30.6,76.8,185.8,174.3,39.8,7.1,2.7,0.1,2.1,11.1,16.1,353.7,352.1,353.7,-23.1,0.0,0.0,,False,,Scrambled
193319,13,20000447,1,2014,Rasual Butler,IND,SF,2,20000013,2017-11-07T10:35:39,50,172.8,282,10,38.0,82.1,34.6,43.4,18.6,35.8,38.9,19.4,46.3,31.3,4.5,10.4,42.6,3.3,26.1,30.6,1.0,5.5,3.4,12.7,3.9,5.0,6.1,22.4,101.5,86.7,43.7,6.8,4.1,0.5,1.0,4.8,11.5,184.8,188.2,184.8,-32.8,0.0,0.0,,False,,Scrambled
193731,14,20000448,1,2014,Will Bynum,DET,PG,3,20000014,2017-11-07T10:35:39,56,683.9,786,6,137.3,320.8,31.9,33.6,122.3,274.5,33.3,14.9,46.3,24.1,72.4,90.3,59.8,17.9,56.0,73.9,1.3,4.6,2.8,161.1,29.1,3.9,76.8,90.3,361.8,360.5,37.4,11.0,24.3,1.0,0.30000000000000004,13.1,17.8,718.2,734.6,718.2,-80.6,0.6000000000000001,0.0,,False,,Scrambled
